127.0.0.1 - - [21/Jan/2026:15:15:02 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:15:04 +0530] "GET /Web-Project/ HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:15:04 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:16:51 +0530] "GET /Web-Project/ HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:17:20 +0530] "GET /Web-Project/ HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:18:11 +0530] "GET /Web-Project/ HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:19:30 +0530] "GET /Web-Project/ HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:20:43 +0530] "GET /Web-Project/ HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:21:14 +0530] "GET /Web-Project/ HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:21:41 +0530] "GET /Web-Project/ HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:22:52 +0530] "GET /Web-Project/ HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:23:11 +0530] "GET /Web-Project/ HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:23:35 +0530] "GET /Web-Project/ HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:24:19 +0530] "GET /Web-Project/ HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:24:38 +0530] "GET /Web-Project/ HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:24:41 +0530] "GET /Web-Project/ HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:24:42 +0530] "GET /Web-Project/ HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:24:42 +0530] "GET /Web-Project/ HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:24:42 +0530] "GET /Web-Project/ HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:24:42 +0530] "GET /Web-Project/ HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:24:42 +0530] "GET /Web-Project/ HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:24:44 +0530] "GET /Web-Project/ HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:25:10 +0530] "GET /Web-Project/ HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:25:20 +0530] "GET /Web-Project/ HTTP/1.1" 200 300
